238.77, 230.859, 162.891, 60.0586, 67.3828, 140.918, 144.141, 142.383, 167.578, 131.836, 142.969, 149.121, 158.789, 135.645, 164.355, 150.293, 104.004, 195.117
238.477, 147.949, 162.891, 60.3516, 147.656, 141.211, 146.191, 142.09, 152.051, 56.25, 142.969, 149.121, 154.98, 143.555, 246.973, 150.293, 104.004, 199.219
145.605, 175.195, 143.848, 159.082, 128.613, 155.859, 157.324, 278.32, 263.086, 53.6133, 147.07, 152.93, 16.9922, 33.6914, 246.973, 149.707, 104.883, 201.562
143.555, 108.691, 253.125, 164.062, 182.52, 47.168, 156.445, 278.906, 262.5, 53.3203, 146.191, 152.051, 16.6992, 34.2773, 246.973, 148.828, 108.105, 196.875
127.441, 166.406, 189.258, 176.66, 146.191, 47.7539, 155.566, 280.957, 288.574, 53.6133, 150.879, 152.637, 12.8906, 8.78906, 244.043, 135.645, 120.996, 196.289
125.684, 223.535, 167.578, 174.902, 98.7305, 107.52, 156.445, 278.613, 298.535, 58.0078, 151.465, 152.637, 18.1641, 0.292969, 237.598, 130.078, 129.785, 197.461
173.438, 222.949, 150.879, 140.332, 70.6055, 144.727, 162.012, 282.422, 282.715, 91.6992, 175.488, 148.242, 45.1172, 8.20312, 242.871, 147.363, 109.277, 174.609
172.559, 221.484, 150.293, 120.703, 71.4844, 143.555, 161.426, 287.402, 258.398, 125.977, 178.711, 133.594, 17.5781, 12.8906, 206.543, 143.555, 101.66, 170.215
172.266, 220.312, 149.707, 118.652, 72.9492, 143.262, 155.566, 260.742, 270.117, 114.258, 168.75, 134.473, 37.207, 9.375, 205.371, 145.898, 102.832, 182.812
170.801, 216.504, 147.07, 123.34, 72.9492, 140.918, 153.516, 232.031, 254.59, 108.984, 164.648, 134.473, 65.0391, 30.7617, 203.027, 143.262, 100.488, 179.883
174.902, 218.555, 147.363, 125.977, 67.3828, 141.797, 154.98, 214.453, 241.113, 108.984, 156.152, 129.785, 88.1836, 63.2812, 189.844, 131.836, 101.367, 185.742
156.738, 219.141, 147.656, 128.613, 68.8477, 141.797, 151.172, 193.066, 232.031, 107.812, 151.758, 142.383, 99.0234, 64.4531, 187.207, 146.777, 98.7305, 187.793
231.445, 218.262, 147.07, 67.6758, 75, 141.211, 151.172, 193.066, 232.031, 107.812, 151.758, 142.383, 99.0234, 64.4531, 187.207, 146.777, 98.7305, 187.793
231.445, 218.262, 147.07, 67.6758, 75, 141.211, 150.879, 201.855, 249.609, 98.1445, 150.586, 141.504, 94.9219, 52.7344, 196.875, 143.262, 98.1445, 188.379
239.941, 219.727, 146.484, 68.8477, 74.707, 140.625, 151.172, 207.129, 252.246, 97.8516, 150.586, 138.867, 90.8203, 53.6133, 195.703, 138.574, 99.3164, 186.035
