-0.500199 -0.0864331 -0.5002 -0.246924 
-0.172843 -0.15965 -0.5002 0.618788 
-0.116202 -1.00015 -0.500155 -0.251779 
0 0 0 0 
-0.935162 -0.000316693 0 0 
-0.640347 -0.29322 -0.499646 -0.338853 
-0.354632 -0.438657 -0.491586 -0.309551 
-0.391221 -0.597309 -0.500031 -0.3182 
-0.31698 -0.991256 -0.499069 -0.295449 
0 0 0 0 
-0.737895 -0.000317105 -0.433292 -0.0273256 
-0.214275 -0.47559 -0.433255 -0.352856 
0 0 0 0 
-0.722641 -0.059182 -0.466702 -0.0385694 
-0.109411 -0.0812501 -0.479207 -0.0639338 
-0.143989 -0.0839054 -0.495085 -0.0636374 
-0.0891254 -0.0686297 -0.464723 -0.0656855 
-0.0898208 -0.0737802 -0.478581 -0.0777188 
-0.0737764 -0.0882805 -0.481948 -0.0737734 
-0.0601968 -0.0652657 -0.479922 -0.061932 
-0.138965 -0.867638 -0.359313 -0.0537561 
0 0 0 0 
-0.480394 -0.242595 -0.362688 -0.0567898 
-0.0197186 -0.338119 -0.479388 -0.0116819 
0 -0.480394 -0.488922 -0.0164094 
0 0 0 0 
-0.377435 -0.0430104 -0.215101 -0.377435 
-0.0225154 -0.0344285 -0.306282 -0.00528739 
-0.00259195 -0.0552331 -0.299404 -0.00256464 
-8.60058e-05 -8.51458e-05 -0.404586 -0.000141183 
0 -8.51458e-05 -0.306282 -0.000632972 
-0.000117713 -0.642564 0 -7.54719e-05 
0 0 0 0 
-0.798681 -9.60596e-05 0 0 
-0.229847 -0.00422609 -0.188755 -0.00424123 
-0.00424811 -0.0220031 -0.188755 -0.00425623 
-0.00396864 -0.0297072 -0.188755 -0.00381848 
-0.00384241 -0.00380226 -0.306282 -0.00382082 
-0.00375806 -0.00378398 -0.186868 -0.00378595 
-0.00379792 -0.0593089 -0.186868 -0.373661 
0 0 -0.416176 -7.54719e-05 
-0.183624 -0.000120365 -0.367639 0 
-0.0942662 -0.00432637 -0.371404 -0.0441452 
-0.00305114 -0.00879628 -0.29344 -0.00264625 
-0.0267345 -0.00039964 0 -0.000120365 
