-400, -64, 0, 0, 0, 0, 64, -96, 0, 0, 0, 0, 0, 0, 160, -192, 128, -288, 0, 0, 0, 0, 0, 0, 400, -192, 224, -128, 0, 0, 0, 0, 0, 0, 0, 0
160, -64, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 160, -160, 0, -224, 0, 0, 0, 0, 64, 0, 256, -160, 400, -64, 0, 0, 0, 0, -64, 0, 0, 0
160, -64, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 192, -64, 64, -64, 0, 0, 0, 0, 64, 0, 96, -160, 320, -128, 0, 0, 0, 0, -64, -64, -8, 0
128, -64, 0, 0, 0, 0, 72, -8, 0, 0, 0, 0, 0, -64, 192, -96, -64, -64, 0, 0, 0, 0, 64, -8, 352, -160, 400, -96, 0, 0, 0, 0, -64, 0, 64, 64
224, -64, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 192, -256, -64, -64, 0, 0, 0, 0, 64, 0, 288, -160, 400, -96, 0, 0, 0, 8, -64, 0, 96, 0
352, -64, 0, 0, 0, 0, 8, -8, 0, 0, 0, 0, 0, 0, 192, 56, 0, -64, 0, 0, 0, 0, 64, 8, 192, -160, 400, -192, 0, 0, 0, 0, -64, -96, 64, 0
384, -64, 224, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, -64, 160, 0, -64, -64, 224, 0, 0, 0, 88, -64, 352, -160, 400, -96, 0, 0, 0, 0, -64, -64, 128, 56
400, -64, 352, 0, 128, 0, 0, 0, 0, 0, 0, 0, 160, 64, 160, 0, 0, -64, 160, 0, 0, 0, 192, -72, 160, -128, 400, -160, 0, 0, 0, 0, 0, -160, -400, -128
400, -64, 128, 0, 0, -8, -8, 0, 0, 0, 0, 8, 64, -64, 96, 0, 0, 0, 400, 0, 0, 0, 160, -96, 0, 0, 400, 0, 0, 0, 0, 0, 288, -160, 0, -224
400, -64, 224, 0, 0, 0, 96, 0, 64, 0, 0, 0, 128, 8, 96, 0, 0, -64, 400, 0, 0, 0, 160, -64, 0, 0, 400, 0, 0, 0, 0, 0, 256, -224, 0, -256
320, -64, 160, 0, 96, 0, 224, 0, 0, -8, 0, 0, 192, 0, 96, 96, 0, -64, 400, 0, 0, 0, 128, -96, 0, -64, 400, 0, 0, 0, 0, 0, 288, -224, 64, -192
400, 0, 400, 0, 64, 0, 256, 0, 0, 0, 56, 0, 160, 64, 120, 96, 0, -72, 400, 0, 0, 0, 160, -96, 0, 0, 400, 0, 0, 0, 0, 0, 256, -224, 0, -192
400, -64, 352, 0, 64, 0, 320, 0, 96, -64, 56, -72, 160, 64, 128, 96, 0, 0, 352, 0, 0, 0, 160, -128, 0, -64, 352, 0, 0, 0, 0, 0, 288, -192, 0, -256
400, -64, 320, 0, 64, 0, 288, 0, 0, 0, 0, 0, 160, 64, 96, 0, 0, 0, 288, 0, 64, 0, 256, -96, 0, -64, 400, -96, 0, 0, 0, 0, 384, -160, 64, -128
400, -64, 288, 0, 96, 0, 288, 0, 64, 0, 0, 0, 192, -128, 256, -64, 0, -8, 400, 0, 224, 0, 352, -64, 128, -64, 400, -128, 0, 0, 0, 0, 224, -96, 96, -128
400, 0, 400, 0, 128, -8, 256, 0, 72, 0, 0, 0, 224, -192, 192, 0, 0, -64, 400, 0, 160, 0, 384, -96, 224, -64, 400, -160, 0, 0, 96, 0, 256, -96, 0, -192
400, 0, 400, 0, 64, 0, 400, 0, 128, 0, 0, 0, 160, -160, 224, 0, 0, -96, 400, 0, 192, 0, 288, -96, 320, -64, 400, -160, 0, 0, 0, 0, 192, -96, 0, -192
384, 0, 360, 0, 72, 0, 344, 8, 96, -64, 128, -64, 128, -192, 128, 72, 0, -64, 400, 0, 384, 0, 400, -96, 400, -64, 400, -160, 0, -64, 64, 0, 288, -128, 0, -192
400, -64, 384, 0, 128, 0, 400, 0, 400, 0, 224, 0, 160, -160, 160, 88, 0, 0, 352, 0, 400, 0, 352, -160, 400, -64, 400, -96, 0, 0, 128, 0, 168, -8, 128, -128
400, -8, 400, 0, 96, 0, 400, 0, 400, 0, 160, 0, 160, -64, 128, 96, 0, 0, 288, 0, 400, 0, 384, -160, 400, -96, 400, -96, 0, 0, 96, 0, 352, -96, 224, -128
